Sex,Age,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
0,39,16.73,64.7,30.23,13644.8,36.08,24.79,34.06,14748.78,32.45,25,35.07,14921.19
0,30,12.3,49.38,27.14,7645.35,42.13,34.87,42.53,24827.5,38.7,30.84,42.33,14921.19
1,38,14.51,55.63,21.37,5013.44,40.32,29.23,35.57,19858.6,38.9,27.41,34.67,17868.5
0,40,18.54,39.51,25.81,5729.92,34.57,21.36,33.05,10187.6,37.49,22.18,34.07,13931.9
0,39,15.32,52.81,33.26,10697,40.92,27.82,38.5,16669.2,37.49,28.83,36.08,15515.1
0,32,23.42,59.95,41.1,12210.8,34.12,23.01,31.9,10092.9,34.52,22.01,31.7,9818.43
0,40,22,68.03,34.52,12244.7,43.6,28.27,45.83,22980.8,41.79,29.28,47.45,26071.2
0,38,12.7,42.94,35.88,7849.79,44.95,32.65,40.11,30897.9,44.34,29.23,41.93,27836
0,30,14.92,56.64,31.04,10296.5,35.07,25.95,36.08,14748.78,33.66,22.57,35.68,14921.19
1,31,11.89,27.41,14.71,4060.54,38.3,20.76,28.62,9764.64,39.71,23.18,30.03,11254.3
0,30,13.91,52,29.63,7780.22,39.91,29.02,41.12,14748.78,43.34,28.83,40.52,14921.19
1,47,10.67,39.1,29.22,4753.6,38.5,25.95,34.67,14748.78,35.88,23.99,38.3,13632.2
0,41,14.8,52.67,27.73,7991.66,41.52,25.4,35.88,17406.7,45.15,25.6,39.71,21235.1
1,40,10.55,33.06,15.93,2126.02,42.53,28.83,32.95,17795.4,39.71,22.98,31.45,14921.19
1,32,19.75,64.5,28.22,11582.1,38.3,25.6,37.69,14036.5,39.71,24.59,38.9,15569.5
1,47,10.45,40.12,22.78,3592.13,39.51,30.65,43.74,22126.1,38.3,30.65,44.38,19372.3
0,46,13.31,67.93,34.06,9932.2,39.71,31.44,37.89,17423.7,40.93,30.24,34.27,16006.9
1,37,11.09,41.72,23.39,4543.3,31.64,17.95,24.19,6817.09,35.47,21.57,29.83,10407.5
1,47,20.56,78.82,34.67,20502.9,36.88,23.79,32.65,8257.9,37.11,19.76,34.06,14921.19
0,30,10.47,30.84,18.54,2833.09,35.27,29.02,37.69,14222.5,35.68,28.82,37.09,15046.7
1,37,13.91,42.33,26,6338.88,39.91,26.61,35.47,16844.3,40.12,25.21,38.5,16711
1,41,11.29,36.48,26.01,5126.91,37.49,23.19,31.46,14623.2,37.3,23.18,35.5,14913.6
1,39,18.14,55.02,37.49,7749.06,37.69,25.19,36.89,17157.3,37.9,22.78,34.27,14330.2
